node_id,url,title,h1,content_type,country
0513b7a4-cafe-43ab-9133-8d022f65fe17,https://www.kenresearch.com/qatar-nordic-regulatory-affairs-market,Qatar Nordic Regulatory Affairs Market | 2019-2030 | Ken Research,"Qatar nordic regulatory affairs market size, share, growth drivers, trends, opportunities & forecast 2025–2030",report,qatar
7d29a377-849a-4842-9655-e6152822502e,https://www.kenresearch.com/bahrain-pectin-market,"Bahrain Pectin Market Share, Companies & Trends Report 2025-2031","Bahrain Pectin Market Size, Share, Growth Drivers, Trends, Opportunities & Forecast 2025–2030",report,bahrain
e239a733-64cd-4236-8ba2-54ab32806278,https://www.kenresearch.com/indonesia-basalt-fiber-market,Indonesia Basalt Fiber Market | 2019 – 2030 | Ken Research,"Indonesia basalt fiber market size, share, growth drivers, trends, opportunities & forecast 2025–2030",report,indonesia
82d5699b-1105-4af3-94de-bc375063bc81,https://www.kenresearch.com/united-arab-emirates-low-gwp-refrigerants-market,"United Arab Emirates Low GWP Refrigerants Market Share, Companies & Trends Report 2025-2031",United Arab Emirates Low GWP Refrigerants Market Report Size  Share  Growth Drivers  Trends  Opportunities & Forecast 2025–2030,report,global
6051d6f2-28cb-4f26-a62c-c94d2ec32398,https://www.kenresearch.com/global-blood-screening-market,Global Blood Screening Market | 2024 – 2030 | Ken Research,Global Blood Screening Market,report,global
8a96ae2e-cb42-481d-ae01-3c28f490be70,https://www.kenresearch.com/middle-east-personal-protective-equipment-market,"Middle East Personal Protective Equipment Market Share, Companies & Trends Report 2025-2031","Middle East Personal Protective Equipment Market Report Size, Share, Growth Drivers, Trends, Opportunities & Forecast 2025–2030",report,middle east
11939ab5-5d3c-47ad-953d-10dc8a0bfca9,https://www.kenresearch.com/qatar-cath-labs-market,"Qatar Cath Labs Market Analysis, Trends & Forecast 2025-2031",Qatar Cath Labs Market Size Share Growth Drivers Trends Opportunities & Forecast 2025–2030,report,qatar
4990a86a-65cd-4da3-86dc-d357f89bb3df,https://www.kenresearch.com/industry-reports/north-america-xenon-market,North America Xenon Market Growth Analysis & Market Share Projection to 2030,North America Xenon Market Outlook to 2030,report,north america
2d1fade7-a17a-4275-b3a0-90d9f36d14d8,https://www.kenresearch.com/global-application-container-market,Global Application Container Market | 2019 – 2030 | Ken Research,Global Application Container Market,report,global
01eaea9f-d66d-4770-86a9-ec380c8bc840,https://www.kenresearch.com/industry-reports/north-america-bone-growth-stimulator-market,"North America Bone Growth Stimulator Market, Industry Analysis and Future Forecast to 2030",North America Bone Growth Stimulator Market Outlook to 2030,report,north america
660f9bc6-0732-4408-b16f-c2b028e9ef4a,https://www.kenresearch.com/industry-reports/china-battery-management-system-market,China Battery Management System Market Growth Analysis & Market Trends to 2030,China Battery Management System Market Outlook to 2030,report,china
