node_id,url,title,h1,proposed_industry
ca4fadc1-bb9a-402f-b1a0-76790979a6b9,https://www.kenresearch.com/articles/gcc-dental-equipment-market-opportunities-forecast,"Middle East Dental Market 2024-2029: Import Dependency, Vision 2030 Push & GCC Growth Trends","Import Heavy, Opportunity Rich: The Untapped Potential of GCC Dental Equipment",Healthcare
e00bf819-aaa9-4a58-87bc-ae3811b1fa44,https://www.kenresearch.com/articles/genset-after-sales-crisis-india-service-benchmark,India Diesel and Gas Genset Industry After-Sales Crisis,The Silent Generator Crisis: What Post-Purchase Experience Reveals About India's Genset After-Sales Ecosystem,Energy & Utilities
7aa2bce9-1181-490f-8d1e-dc730c3bb9bc,https://www.kenresearch.com/articles/indian-car-buyers-consider-ev-but-choose-ice,Why Indian Car Buyers Consider EVs but Still Choose ICE,Why Are Indian Car Buyers Considering EVs but Still Choosing ICE?,"Automotive, Transportation & Logistics"
a63adfb1-c4f1-4db8-a102-78e0539ad9ee,https://www.kenresearch.com/articles/india-api-market-dependency-to-dominance,India API Market Shift from Import Dependence to Scale,India’s API Market: From Dependency to Dominance,(no confident match)
d0032b47-267d-45a2-870c-feed3182d29c,https://www.kenresearch.com/articles/india-bess-market-storage-revolution,India BESS Market: Battery Storage Revolution to 459 GWh,India’s BESS Market: The Storage Revolution Reshaping an Entire Economy,Energy & Utilities
487db621-f173-44ea-a12d-b3f19805aa69,https://www.kenresearch.com/articles/india-busbar-value-chain-design-control,India Busbar Market: Design Ownership for Future Growth,Winning Through Design Control: India’s Next Move in the Busbar Value Chain,"Automotive, Transportation & Logistics"
93363f48-bc46-4327-9b86-087eef8aa41a,https://www.kenresearch.com/articles/india-ev-market-sustainability-to-economics,"India EV Market: 2 Mn Sales, 4W Economics | Ken Research",India’s EV Market Has Won the Sustainability Argument. Now It Must Win the Economics,"Automotive, Transportation & Logistics"
91d0a2f7-f7c1-46c2-9387-17b2cdc9e1e0,https://www.kenresearch.com/articles/india-personal-loan-market-trust-gap,India Personal Loan Market: Trust Deficit Reshapes Lending,The Transparency Gap: How Personal Loan Decision Journeys Are Exposing India's Lending Trust Deficit,BFSI
c070a33e-da2e-4bd7-a2f0-ad1b4a6e3cbe,https://www.kenresearch.com/articles/india-health-insurance-consumer-behavior-forecast,India Health Insurance Purchase Decisions: Coverage Gap 2025,The Protection Gap: How Health Insurance Purchase Decisions Are Reshaping India's Coverage Landscape,Healthcare
dbcf7bd4-4846-490e-a327-a34846d97cba,https://www.kenresearch.com/articles/hospital-emergency-trust-deficit-india,India Emergency Healthcare Trust Deficit: Survey Insights,The Trust Deficit: How Hospital Emergency Services Are Failing India's Most Vulnerable Patients,Healthcare
648a9abc-4a69-434b-bb2a-b93a9514bcdb,https://www.kenresearch.com/articles/battery-confidence-shaping-india-ev-scooter-future,India Electric Scooter Market: Battery Trust Barrier in 2025,The Battery Barrier: How Range Anxiety and Replacement Fears Are Stalling India's Electric Scooter Boom,"Automotive, Transportation & Logistics"
b7ae385b-eee8-4b1a-ae17-c82672915473,https://www.kenresearch.com/articles/conocophillips-cost-advantage-us-oil-market,ConocoPhillips Leads US Oil Reserves with Cost Edge,Is ConocoPhillips’ 38% Cost Advantage Enough to Win the Next Decade of the US Oil Market?,Energy & Utilities
37747a91-99d5-447c-ae96-0aa6595d83b7,https://www.kenresearch.com/articles/uae-cement-market-outlook-entry-opportunity,"UAE Cement Market Size, Outlook & Strategic Entry 2025","UAE Cement Market: Oversupplied, Under Pressure But Ripe for Strategic Entry",Manufacturing & Construction
54edcf0f-61c8-4e58-8149-40b1e693c9a4,https://www.kenresearch.com/articles/philippines-unsecured-lending-growth-digital-credit-opportunity,Philippines Unsecured Lending Growth Driven by Digital Credit,Philippines Unsecured Lending Market Accelerates at 15% CAGR as Digital Credit Approaches USD 100 Billion,BFSI
